char,unicode,missing_cho,missing_jung,missing_jong,missing_total,in_ref78,ink_ratio,bbox_fill,edge_density,n_components,psnr,ssim
쏩,U+C3E9,0,0,0,0,0,0.160400390625,0.6640625,0.13116455078125,3,nan,nan
쏪,U+C3EA,0,0,0,0,0,0.177978515625,0.7109375,0.15460205078125,5,nan,nan
쏫,U+C3EB,0,0,0,0,0,0.14208984375,0.6875,0.11639404296875,3,nan,nan
쏬,U+C3EC,0,0,0,0,0,0.1593017578125,0.6640625,0.1290283203125,3,nan,nan
쏭,U+C3ED,0,0,0,0,0,0.14654541015625,0.6875,0.115478515625,4,nan,nan
쏮,U+C3EE,0,0,1,1,0,0.15643310546875,0.7578125,0.1302490234375,3,nan,nan
쏯,U+C3EF,0,0,0,0,0,0.15869140625,0.7421875,0.1478271484375,6,nan,nan
쏰,U+C3F0,0,0,1,1,0,0.15216064453125,0.734375,0.13897705078125,4,nan,nan
쏱,U+C3F1,0,0,1,1,0,0.17169189453125,0.78125,0.16986083984375,4,nan,nan
쏲,U+C3F2,0,0,0,0,0,0.1893310546875,0.828125,0.1671142578125,5,nan,nan
쏳,U+C3F3,0,0,0,0,0,0.1737060546875,0.7578125,0.152099609375,5,nan,nan
쏴,U+C3F4,0,0,0,0,0,0.138916015625,0.76739501953125,0.1348876953125,2,nan,nan
쏵,U+C3F5,0,0,0,0,0,0.14447021484375,0.89208984375,0.148681640625,5,nan,nan
쏶,U+C3F6,0,0,1,1,0,0.15057373046875,0.9459228515625,0.15338134765625,5,nan,nan
쏷,U+C3F7,0,0,0,0,0,0.16168212890625,0.96893310546875,0.1722412109375,7,nan,nan
쏸,U+C3F8,0,0,0,0,0,0.15753173828125,0.8861083984375,0.15118408203125,5,nan,nan
쏹,U+C3F9,0,0,1,1,0,0.16497802734375,0.92315673828125,0.17718505859375,7,nan,nan
쏺,U+C3FA,0,0,1,1,0,0.17474365234375,0.8258056640625,0.1790771484375,6,nan,nan
쏻,U+C3FB,0,0,1,1,0,0.173583984375,0.90789794921875,0.171142578125,4,nan,nan
쏼,U+C3FC,0,0,0,0,0,0.17437744140625,0.8984375,0.18768310546875,4,nan,nan
쏽,U+C3FD,0,0,0,0,0,0.18267822265625,0.921875,0.19805908203125,5,nan,nan
쏾,U+C3FE,0,0,0,0,0,0.1893310546875,0.907470703125,0.20086669921875,4,nan,nan
쏿,U+C3FF,0,0,0,0,0,0.18975830078125,0.90789794921875,0.19866943359375,8,nan,nan
쐀,U+C400,0,0,0,0,0,0.1688232421875,0.8984375,0.1724853515625,8,nan,nan
쐁,U+C401,0,0,0,0,0,0.16131591796875,0.8671875,0.1793212890625,5,nan,nan
